Indicator,Model,1,2,3,4,5
Exports of goods and services (% of GDP),ARIMA,5,2,1,0,0
Exports of goods and services (% of GDP),Holt-Winters,0,2,5,1,0
Exports of goods and services (% of GDP),LSTM,0,0,0,2,6
Exports of goods and services (% of GDP),Prophet,2,2,2,2,0
Exports of goods and services (% of GDP),XGBoost,1,2,0,3,2
GDP (USD),ARIMA,3,4,1,0,0
GDP (USD),Holt-Winters,4,3,1,0,0
GDP (USD),LSTM,0,0,0,2,6
GDP (USD),Prophet,0,0,6,1,1
GDP (USD),XGBoost,1,1,0,5,1
GDP growth (annual %),ARIMA,3,5,0,0,0
GDP growth (annual %),Holt-Winters,0,0,7,1,0
GDP growth (annual %),LSTM,0,0,1,2,5
GDP growth (annual %),Prophet,0,1,0,4,3
GDP growth (annual %),XGBoost,5,2,0,1,0
GDP per Capita (USD),ARIMA,3,5,0,0,0
GDP per Capita (USD),Holt-Winters,3,3,2,0,0
GDP per Capita (USD),LSTM,0,0,0,3,5
GDP per Capita (USD),Prophet,0,0,6,0,2
GDP per Capita (USD),XGBoost,2,0,0,5,1
Imports of goods and services (% of GDP),ARIMA,6,1,1,0,0
Imports of goods and services (% of GDP),Holt-Winters,1,4,3,0,0
Imports of goods and services (% of GDP),LSTM,0,0,0,2,6
Imports of goods and services (% of GDP),Prophet,0,3,3,2,0
Imports of goods and services (% of GDP),XGBoost,1,0,1,4,2
Inflation (CPI),ARIMA,0,7,1,0,0
Inflation (CPI),Holt-Winters,0,1,7,0,0
Inflation (CPI),LSTM,0,0,0,3,5
Inflation (CPI),Prophet,0,0,0,5,3
Inflation (CPI),XGBoost,8,0,0,0,0
Unemployment Rate (%),ARIMA,5,2,1,0,0
Unemployment Rate (%),Holt-Winters,2,3,2,1,0
Unemployment Rate (%),LSTM,0,0,0,1,7
Unemployment Rate (%),Prophet,0,0,5,2,1
Unemployment Rate (%),XGBoost,1,3,0,4,0
