Country,Indicator,Model,RMSE,Rank
Czech Republic,GDP per Capita (USD),Prophet,1898.1889352185149,1
Czech Republic,GDP per Capita (USD),ARIMA,3913.336586408993,2
Czech Republic,GDP per Capita (USD),Holt-Winters,5005.565045104411,3
Czech Republic,GDP per Capita (USD),LSTM,5570.173394198065,4
Czech Republic,GDP per Capita (USD),XGBoost,6644.815779118626,5
Czech Republic,GDP (USD),Prophet,22258717486.727013,1
Czech Republic,GDP (USD),ARIMA,36865542548.71162,2
Czech Republic,GDP (USD),Holt-Winters,65585383817.87267,3
Czech Republic,GDP (USD),LSTM,69223777490.43604,4
Czech Republic,GDP (USD),XGBoost,79282548760.90334,5
Czech Republic,Inflation (CPI),XGBoost,2.9367849928492378,1
Czech Republic,Inflation (CPI),ARIMA,3.0687650857665334,2
Czech Republic,Inflation (CPI),Holt-Winters,6.048436476833981,3
Czech Republic,Inflation (CPI),LSTM,6.384405654270994,4
Czech Republic,Inflation (CPI),Prophet,7.188269739652926,5
Czech Republic,Unemployment Rate (%),ARIMA,0.5737018260347404,1
Czech Republic,Unemployment Rate (%),Holt-Winters,0.8560240530746485,2
Czech Republic,Unemployment Rate (%),Prophet,0.9182798321957378,3
Czech Republic,Unemployment Rate (%),XGBoost,1.0427714035777018,4
Czech Republic,Unemployment Rate (%),LSTM,3.837825358399628,5
Czech Republic,GDP growth (annual %),ARIMA,2.9395814634318773,1
Czech Republic,GDP growth (annual %),XGBoost,3.139807497716962,2
Czech Republic,GDP growth (annual %),Holt-Winters,3.406510752578755,3
Czech Republic,GDP growth (annual %),LSTM,3.458147441420966,4
Czech Republic,GDP growth (annual %),Prophet,4.061390598036683,5
Czech Republic,Imports of goods and services (% of GDP),XGBoost,3.130401457026746,1
Czech Republic,Imports of goods and services (% of GDP),ARIMA,3.2630140808634294,2
Czech Republic,Imports of goods and services (% of GDP),Holt-Winters,4.458144064026979,3
Czech Republic,Imports of goods and services (% of GDP),Prophet,13.411721052767296,4
Czech Republic,Imports of goods and services (% of GDP),LSTM,17.290348901062046,5
Czech Republic,Exports of goods and services (% of GDP),ARIMA,2.3703462175411616,1
Czech Republic,Exports of goods and services (% of GDP),Holt-Winters,3.5362749985936177,2
Czech Republic,Exports of goods and services (% of GDP),XGBoost,3.660937934880031,3
