Country,Indicator,Model,RMSE,Rank
Czech Republic,GDP per Capita (USD),ARIMA,1086.6661024521443,1
Czech Republic,GDP per Capita (USD),Holt-Winters,1288.0961108827914,2
Czech Republic,GDP per Capita (USD),Prophet,1898.099851903434,3
Czech Republic,GDP per Capita (USD),XGBoost,6794.67069797663,4
Czech Republic,GDP per Capita (USD),LSTM,7718.092106675497,5
Czech Republic,GDP (USD),ARIMA,11744956557.509886,1
Czech Republic,GDP (USD),Holt-Winters,14697627293.301716,2
Czech Republic,GDP (USD),Prophet,21713946368.282097,3
Czech Republic,GDP (USD),XGBoost,76402905107.07147,4
Czech Republic,GDP (USD),LSTM,99580494395.04567,5
Czech Republic,Inflation (CPI),XGBoost,2.5396166364207904,1
Czech Republic,Inflation (CPI),ARIMA,3.0687650857665334,2
Czech Republic,Inflation (CPI),Holt-Winters,3.1080819411611533,3
Czech Republic,Inflation (CPI),Prophet,5.519963475321702,4
Czech Republic,Inflation (CPI),LSTM,5.70560025115512,5
Czech Republic,Unemployment Rate (%),ARIMA,0.248242751181002,1
Czech Republic,Unemployment Rate (%),XGBoost,0.30026560759904763,2
Czech Republic,Unemployment Rate (%),Holt-Winters,0.48629332733444136,3
Czech Republic,Unemployment Rate (%),Prophet,0.8313787316621256,4
Czech Republic,Unemployment Rate (%),LSTM,3.8182969539218217,5
Czech Republic,GDP growth (annual %),ARIMA,2.0901292576508625,1
Czech Republic,GDP growth (annual %),XGBoost,2.1880625253805848,2
Czech Republic,GDP growth (annual %),Holt-Winters,3.1041786281869617,3
Czech Republic,GDP growth (annual %),Prophet,3.3037759323345752,4
Czech Republic,GDP growth (annual %),LSTM,3.315481798504908,5
Czech Republic,Imports of goods and services (% of GDP),XGBoost,1.9128600829907028,1
Czech Republic,Imports of goods and services (% of GDP),ARIMA,2.986730235560993,2
Czech Republic,Imports of goods and services (% of GDP),Holt-Winters,3.2384106530300047,3
Czech Republic,Imports of goods and services (% of GDP),Prophet,4.149842636440244,4
Czech Republic,Imports of goods and services (% of GDP),LSTM,5.028888795686478,5
Czech Republic,Exports of goods and services (% of GDP),Prophet,1.9569221235484424,1
Czech Republic,Exports of goods and services (% of GDP),ARIMA,1.9581699332207283,2
Czech Republic,Exports of goods and services (% of GDP),Holt-Winters,2.188628032875693,3
Czech Republic,Exports of goods and services (% of GDP),XGBoost,2.2365755828844094,4
Czech Republic,Exports of goods and services (% of GDP),LSTM,3.15280227958201,5
Hungary,GDP per Capita (USD),ARIMA,1242.3444730761994,1
Hungary,GDP per Capita (USD),Holt-Winters,1394.8980354712303,2
Hungary,GDP per Capita (USD),Prophet,1973.29000370156,3
Hungary,GDP per Capita (USD),XGBoost,2500.004154548614,4
Hungary,GDP per Capita (USD),LSTM,8384.28679545694,5
Hungary,GDP (USD),Holt-Winters,11280140922.333208,1
Hungary,GDP (USD),ARIMA,12837615494.821367,2
Hungary,GDP (USD),Prophet,13451921193.220236,3
Hungary,GDP (USD),XGBoost,21036028727.363716,4
Hungary,GDP (USD),LSTM,1904465737686.142,5
Hungary,Inflation (CPI),XGBoost,2.3942781332733256,1
Hungary,Inflation (CPI),ARIMA,2.956810022160836,2
Hungary,Inflation (CPI),Holt-Winters,3.2332552285220517,3
Hungary,Inflation (CPI),Prophet,5.308738529678092,4
Hungary,Inflation (CPI),LSTM,6.983297269193132,5
Hungary,Unemployment Rate (%),ARIMA,0.34251684821265393,1
Hungary,Unemployment Rate (%),Holt-Winters,0.4935868526182463,2
Hungary,Unemployment Rate (%),Prophet,1.5010897785176698,3
Hungary,Unemployment Rate (%),XGBoost,2.052609278761588,4
Hungary,Unemployment Rate (%),LSTM,2.21932520909628,5
Hungary,GDP growth (annual %),XGBoost,2.6215123454205806,1
Hungary,GDP growth (annual %),ARIMA,3.0105582579266073,2
Hungary,GDP growth (annual %),Holt-Winters,3.046035151139204,3
Hungary,GDP growth (annual %),Prophet,3.0815631496387317,4
Hungary,GDP growth (annual %),LSTM,3.1774286178323554,5
Hungary,Imports of goods and services (% of GDP),ARIMA,5.302442438116264,1
Hungary,Imports of goods and services (% of GDP),Prophet,5.3735965962838925,2
Hungary,Imports of goods and services (% of GDP),Holt-Winters,5.705136561698394,3
Hungary,Imports of goods and services (% of GDP),XGBoost,5.813841057780654,4
Hungary,Imports of goods and services (% of GDP),LSTM,5.87343487781299,5
Hungary,Exports of goods and services (% of GDP),ARIMA,2.6050895953243223,1
Hungary,Exports of goods and services (% of GDP),XGBoost,2.7709055754313865,2
Hungary,Exports of goods and services (% of GDP),Prophet,3.321145607449556,3
Hungary,Exports of goods and services (% of GDP),Holt-Winters,3.7931764876757037,4
Hungary,Exports of goods and services (% of GDP),LSTM,4.85795818064005,5
Poland,GDP per Capita (USD),Holt-Winters,825.4380850130875,1
Poland,GDP per Capita (USD),ARIMA,1139.0226604434508,2
Poland,GDP per Capita (USD),Prophet,1623.888428357809,3
Poland,GDP per Capita (USD),LSTM,2963.331566689244,4
Poland,GDP per Capita (USD),XGBoost,5231.407590789347,5
Poland,GDP (USD),Holt-Winters,26433065532.805405,1
Poland,GDP (USD),ARIMA,27618238447.276466,2
Poland,GDP (USD),Prophet,48795774270.53579,3
Poland,GDP (USD),XGBoost,182449269352.20755,4
Poland,GDP (USD),LSTM,216429922023.48428,5
Poland,Inflation (CPI),XGBoost,1.6509915089692266,1
Poland,Inflation (CPI),Holt-Winters,3.1727408312436642,2
Poland,Inflation (CPI),ARIMA,4.16285198237123,3
Poland,Inflation (CPI),Prophet,4.329114566669886,4
Poland,Inflation (CPI),LSTM,109.52457479537489,5
Poland,Unemployment Rate (%),ARIMA,0.17506752140555723,1
Poland,Unemployment Rate (%),Holt-Winters,0.3960762307973555,2
Poland,Unemployment Rate (%),Prophet,0.7637217913298963,3
Poland,Unemployment Rate (%),XGBoost,2.8045212333629332,4
Poland,Unemployment Rate (%),LSTM,6.172847844727627,5
Poland,GDP growth (annual %),ARIMA,2.2520716544631028,1
Poland,GDP growth (annual %),XGBoost,2.66525193501245,2
Poland,GDP growth (annual %),Holt-Winters,3.0578010896598573,3
Poland,GDP growth (annual %),Prophet,3.120452577966391,4
Poland,GDP growth (annual %),LSTM,3.6080945535488107,5
Poland,Imports of goods and services (% of GDP),ARIMA,2.700880138820325,1
Poland,Imports of goods and services (% of GDP),Prophet,3.1770437991681244,2
Poland,Imports of goods and services (% of GDP),Holt-Winters,3.6223923698277862,3
Poland,Imports of goods and services (% of GDP),LSTM,3.794964518179804,4
Poland,Imports of goods and services (% of GDP),XGBoost,5.491721869811737,5
Poland,Exports of goods and services (% of GDP),Prophet,1.6992184942098056,1
Poland,Exports of goods and services (% of GDP),ARIMA,1.9842725341972094,2
Poland,Exports of goods and services (% of GDP),Holt-Winters,2.1354657842223435,3
Poland,Exports of goods and services (% of GDP),LSTM,2.4287863635112115,4
Poland,Exports of goods and services (% of GDP),XGBoost,5.555994523273807,5
Slovakia,GDP per Capita (USD),Holt-Winters,789.0957397231981,1
Slovakia,GDP per Capita (USD),ARIMA,792.7689277468453,2
Slovakia,GDP per Capita (USD),Prophet,1853.0614935094586,3
Slovakia,GDP per Capita (USD),XGBoost,4477.326058174765,4
Slovakia,GDP per Capita (USD),LSTM,4748.764744236352,5
Slovakia,GDP (USD),Holt-Winters,4244489085.0545826,1
Slovakia,GDP (USD),ARIMA,4302841254.309554,2
Slovakia,GDP (USD),Prophet,9411547371.728954,3
Slovakia,GDP (USD),LSTM,14520832731.814981,4
Slovakia,GDP (USD),XGBoost,23633944330.84967,5
Slovakia,Inflation (CPI),XGBoost,2.206878459544274,1
Slovakia,Inflation (CPI),ARIMA,2.499847707985113,2
Slovakia,Inflation (CPI),Holt-Winters,4.509940364794076,3
Slovakia,Inflation (CPI),LSTM,4.9579283128387175,4
Slovakia,Inflation (CPI),Prophet,7.743003600747387,5
Slovakia,Unemployment Rate (%),ARIMA,0.6231239159197224,1
Slovakia,Unemployment Rate (%),Holt-Winters,0.7818293036196718,2
Slovakia,Unemployment Rate (%),Prophet,0.9908139928928285,3
Slovakia,Unemployment Rate (%),XGBoost,3.1678807624784575,4
Slovakia,Unemployment Rate (%),LSTM,6.240454168110386,5
Slovakia,GDP growth (annual %),ARIMA,2.0173915452981754,1
Slovakia,GDP growth (annual %),Prophet,2.1081103498304516,2
Slovakia,GDP growth (annual %),Holt-Winters,2.4039694516530434,3
Slovakia,GDP growth (annual %),XGBoost,2.406617201230224,4
Slovakia,GDP growth (annual %),LSTM,2.8944336480719945,5
Slovakia,Imports of goods and services (% of GDP),ARIMA,5.386648917351161,1
Slovakia,Imports of goods and services (% of GDP),Holt-Winters,5.867718935940389,2
Slovakia,Imports of goods and services (% of GDP),Prophet,5.9706030116659985,3
Slovakia,Imports of goods and services (% of GDP),XGBoost,6.4937161956683465,4
Slovakia,Imports of goods and services (% of GDP),LSTM,7.1456295964479395,5
Slovakia,Exports of goods and services (% of GDP),ARIMA,2.7660612715397117,1
Slovakia,Exports of goods and services (% of GDP),XGBoost,3.831184600256527,2
Slovakia,Exports of goods and services (% of GDP),Holt-Winters,4.153941777399658,3
Slovakia,Exports of goods and services (% of GDP),Prophet,4.725233295198399,4
Slovakia,Exports of goods and services (% of GDP),LSTM,5.67696668404335,5
Germany,GDP per Capita (USD),ARIMA,2525.165510156795,1
Germany,GDP per Capita (USD),Holt-Winters,2624.7565884817254,2
